event_id,event_title,date,description,region,agreement_check,agreement_link,event_type,subject_type,subject_topic,subject_story,organizer_type,organizer_name,detentions,ovd,place,links
590,Стратегия-31,2015-01-31,"Полицейские задержали активистов «Другой России», проводивших в Петербурге несогласованную акцию «Стратегия-31».",Санкт-Петербург,,,собрание,политический протест,свобода собраний,Стратегия-31,институциональный протест,Другая Россия,8,Отдел полиции №28 Центрального района г.Санкт-Петербурга,"у Гостинного двора, Невский проспект, д. 35",https://www.zaks.ru/new/archive/view/135477  https://zaks.ru/new/archive/view/135483 https://zaks.ru/new/archive/view/135478    http://echospb.ru/articles/234697/https://zaks.ru/new/archive/view/135479   http://www.baltinfo.ru/2015/02/01/Zaderzhannykh-nakanune-drugorossov-otpustili-iz-politcii-i-zhdut-v-sude-475941   https://www.zaks.ru/new/archive/view/135492
591,Акция ипотечников на Тверской,2015-02-01,В ходе несогласованной (в согласовании было отказано) акции ипотечных валютных заемщиков в Москве на Тверской улице было задержано 17 человек. Попавшие в очень непростую ситуацию в связи с падением курса рубля заемщики требуют реструктуризации кредитных соглашений и помощи правительства в решении этих вопросов.,Москва,,,собрание,групповой протест,узкоэкономические требования,валютные ипотечники,активистский протест,,17,Тверской,Тверская ул,"http://ovdinfo.org/express-news/2015/02/01/zaderzhannye-dnem-ipotechniki-vyshli-na-svobodu, http://ovdinfo.org/express-news/2015/02/01/na-tverskoy-zaderzhany-17-chelovek"
592,Одиночные пикеты в защиту цирковых животных,2015-02-07,"В Петербурге задержаны активисты, вышедшие на пикет в защиту цирковых животных у цирка в Автово.",Санкт-Петербург,,,одиночный пикет,локальный протест,экология,,активистский протест,,5,,"Цирк в Автово, Автовская, 1А",http://www.interfax-russia.ru/NorthWest/news.asp?id=580559&sec=1671  http://www.newizv.ru/accidents/2015-02-09/214561-v-peterburge-zaderzhany-uchastniki-piketa-v-zashitu-cirkovyh-zhivotnyh.html
593,Антивоенный пикет Солидарности,2015-02-08,"Традиционный пикет «Солидарности» против войны в Украине. Участник пикета Михаил Кригер отправился в ОВД Замоскворечье писать жалобу на действия активистов «НОДа» помешавших пикету, он также был задержан и обвинен в «мелком хулиганстве». ",Москва,checked,,собрание,политический протест,внешняя политика,против войны,институциональный протест,Солидарность,1,Замоскворечье,"в здании ОВД «Замоскворечье», Пятницкая ул, 49","http://ovdinfo.org/express-news/2015/02/08/krigera-otpustili-iz-ovd, http://ovdinfo.org/express-news/2015/02/08/policiya-obvinila-mihaila-krigera-v-huliganstve"
595,Агитация в поддержку антикризисного марша «Весна»,2015-02-15,Раздача активистами агитационных материалов в поддержку антикризисного марша «Весна».,Москва,,,агитация,политический протест,против власти,,институциональный протест,,12,"4-й отдел полиции УВД на Московском метрополитене,Опорный пункт полиции на станции метро «Чистые пруды»","м «Краснопресненская», м «Новослободская», м «Парк Культуры»; м «Тургеневская»","http://ovdinfo.org/express-news/2015/03/13/sluzhba-ispolneniya-nakazaniy-prosit-zamenit-navalnomu-uslovnyy-srok-na, http://ovdinfo.org/express-news/2015/02/20/alekseyu-navalnomu-dali-15-sutok, http://ovdinfo.org/express-news/2015/02/19/alekseya-navalnogo-sobirayutsya-otpravit-v-specpriemnik-nakanune, http://ovdinfo.org/express-news/2015/02/15/zaderzhaniya-aktivistov-v-moskovskom-metro-0, http://ovdinfo.org/express-news/2015/02/15/policiya-trebuet-svernut-kuby-v-podderzhku-antikrizisnogo-marsha-vesna"
596,Пикет в поддержку политзаключенной украинской летчицы Надежды Савченко,2015-02-17,В центре Москвы на одиночном пикете был задержан правозащитник Александр Сергеев.,Москва,,,одиночный пикет,политический протест,политзаключенные,Савченко,активистский протест,,1,Китай-город,Манежная площадь,"http://ovdinfo.org/express-news/2015/02/17/zaderzhannyy-odinochnyy-piketchik-na-svobode, http://ovdinfo.org/express-news/2015/02/17/v-centre-zaderzhan-odinochnyy-piketchik"
597,День памяти «Небесной сотни»,2015-02-20,"Восемь активистов, пришедших к зданию посольства Украины возложить цветы в память о погибших в ходе столкновений на Майдане зимой 2013-2014 года, были задержаны сотрудниками полиции.",Москва,,,собрание,политический протест,внешняя политика,,активистский протест,,8,Пресненский,"у посольства Украины, Леонтьевский переулок, д.18","http://ovdinfo.org/express-news/2015/02/24/zaderzhannyy-u-posolstva-ukrainy-obratilsya-v-prokuraturu, http://ovdinfo.org/express-news/2015/02/21/ostavshiesya-iz-zaderzhannyh-vchera-u-posolstva-ukrainy-vyshli-na-svobodu, http://ovdinfo.org/express-news/2015/02/21/ekaterina-maldon-otpushchena-iz-presnenskogo-ovd-perspektivy-ostalnyh-0, http://ovdinfo.org/express-news/2015/02/21/v-ovd-presnenskiy-pyat-chelovek-ostavlyayut-na-noch, http://ovdinfo.org/express-news/2015/02/21/dvoe-otpushcheny-bez-protokola-iz-presnenskogo-ovd, http://ovdinfo.org/express-news/2015/02/20/iz-ovd-nachali-otpuskat-zaderzhannyh-na-dne-pamyati-nebesnoy-sotni, http://ovdinfo.org/express-news/2015/02/20/zaderzhannye-na-akcii-pamyati-nebesnoy-sotni-dostavleny-v-ovd, http://ovdinfo.org/express-news/2015/02/20/u-posolstva-ukrainy-zaderzhan-eshche-odin-chelovek, http://ovdinfo.org/express-news/2015/02/20/sem-chelovek-zaderzhany-u-zdaniya-posolstva-ukrainy"
599,Раздача листовок  с призывом прийти на «Весну»,2015-02-22,Во время раздачи листовок с призывом петербуржцев к участию в акции «Весна» (в согласованном марше или прогулке 1 марта 2015 года) на ст.метро «Гостиный Двор» полицией метрополитена задержан Всеволод Нелаев.,Санкт-Петербург,,,агитация,политический протест,против власти,,институциональный протест,,1,Опорный пункт полиции на станции метро «Канал Грибоедова»,метро «Гостинный двор»,https://vk.com/miting_help?z=photo-32875578_356104170%2Falbum-32875578_00%2Frev  http://www.baltinfo.ru/2015/02/22/Aktivista-Solidarnosti-Vsevoloda-Nelaeva-zaderzhali-u-metro-Gostinyi-dvor-479694
598,Задержания в клубе «Джерри Рубин»,2015-02-22,"В московском клубе перед хип-хоп концертом вечером в воскресенье задержаны более сорока человек, среди них музыканты.",Москва,,,культурно-просветительское мероприятие,политический протест,другое,,стихийный протест,,40,Гагаринский,"клуб «Джерри Рубин», Университетский пр., 1/62","http://ovdinfo.org/express-news/2015/02/23/zaderzhannye-ranee-v-dzherri-rubine-vyshli-na-svobodu, http://ovdinfo.org/express-news/2015/02/22/v-gagarinskom-ovd-izbivayut-zaderzhannyh, http://ovdinfo.org/express-news/2015/02/22/policeyskie-v-gagarinskom-ovd-hotyat-daktiloskopirovat-zaderzhannyh, http://ovdinfo.org/express-news/2015/02/22/stali-izvestny-imena-nekotoryh-zaderzhannyh-v-dzherri-rubine, http://ovdinfo.org/express-news/2015/02/22/neskolko-desyatkov-chelovek-zaderzhany-v-moskovskom-klube"
600,Расклейка стикеров  к Антикризисному маршу «Весна»,2015-02-27,"Александру Максютову в Петербурге задержала полиция за агитацию к Антикризисному Маршу 1 марта, за расклейку стикеров к митингу «Нет – войне! Нет – кризису!».",Санкт-Петербург,,,агитация,политический протест,против власти,,институциональный протест,,1,Отдел полиции №78 Центрального района г.Санкт-Петербурга,у метро «Чернышевская»,https://vk.com/wall-32875578_31940  https://vk.com/wall-32875578_31948 https://zaks.ru/new/archive/view/136672
601,Пикет «Берегите главного свидетеля»,2015-02-28,"Возле Собора Василия Блаженного задержана Ксения Истомина, двигавшаяся от Большого Москворецкого моста, где люди прощались с убитым там накануне вечером Борисом Немцовым, в сторону Красной площади с плакатом «Берегите главного».",Москва,,,одиночный пикет,политический протест,против власти,Немцов,активистский протест,,1,Китай-город,"у здания собора Василия Блаженного, Красная площадь",http://ovdinfo.org/express-news/2015/02/28/vozle-sobora-vasiliya-blazhennogo-zaderzhana-aktivistka
603,Марш и митинг памяти Бориса Немцова,2015-03-01,"В Петербурге прошло шествие и митинг памяти Бориса Немцова, убитого 27 февраля. В ходе мероприятия и непосредственно после него имели место задержания.",Санкт-Петербург,checked,,в движении,политический протест,против власти,Немцов,институциональный протест,Оргкомитет марша «Весна»,4,,,"http://ovdinfo.org/express-news/2015/03/03/zaderzhannogo-na-shestvii-podrostka-otpustili-na-svobodu, http://ovdinfo.org/express-news/2015/03/02/zaderzhannyy-v-peterburge-75-letniy-aktivist-vyshel-na-svobodu, http://ovdinfo.org/express-news/2015/03/01/aktivist-zaderzhannyy-za-plakat-s-putinym-otpushchen-delo-ne-zavedeno, http://ovdinfo.org/express-news/2015/03/01/aktivista-zaderzhannogo-za-plakat-s-putinym-obvinyayut-v-melkom-huliganstve, http://ovdinfo.org/express-news/2015/03/01/odin-chelovek-zaderzhan-na-mitinge-v-peterburge-za-plakat-s-putinym, http://ovdinfo.org/express-news/2015/03/01/v-peterburge-po-okonchanii-traurnogo-mitinga-zaderzhan-75-letniy-aktivist, http://ovdinfo.org/express-news/2015/03/01/v-peterburge-zaderzhan-odin-iz-organizatorov-marsha-pamyati-borisa-nemcova https://vk.com/away.php?to=http%3A%2F%2Fpaperpaper.ru%2Fpapernews%2F2015%2F03%2F01%2F1-march%2F&post=-32875578_32001"
602,Раздача газет «Открытой России»,2015-03-01,Утром в Москве были задержаны три человека при раздаче газеты «Открытая Россия».,Москва,,,агитация,политический протест,против власти,,институциональный протест,Открытая Россия,3,Мещанский,метро «Добрынинская»,http://ovdinfo.org/express-news/2015/03/01/zaderzhaniya-pri-razdache-gazet
604,Марш памяти Бориса Немцова в Москве,2015-03-01,"По всей стране 1 марта проходят акции памяти Бориса Немцова, застреленного в ночь на 28 февраля.",Москва,checked,,в движении,политический протест,против власти,Немцов,институциональный протест,Оргкомитет марша «Весна»,53,"Арбат,Китай-город,Красносельский,Мещанский,Хамовники",Большой Москворецкий мост,"http://ovdinfo.org/express-news/2015/03/08/centr-e-provel-obysk-u-zaderzhannogo-na-marshe-pamyati-nemcova, https://ovdinfo.org/express-news/2015/03/01/zaderzhannye-iz-ovd-arbat-i-hamovniki-otpushcheny, http://ovdinfo.org/express-news/2015/03/06/v-zhalobah-na-arest-eshche-dvuh-zaderzhannyh-na-marshe-pamyati-otkazano, http://ovdinfo.org/express-news/2015/03/05/belichenko-i-voronov-ostayutsya-v-specpriemnike, http://ovdinfo.org/express-news/2015/03/05/zhaloba-lakshina-ostavlena-bez-udovletvoreniya, http://ovdinfo.org/express-news/2015/03/05/zhaloba-zaderzhannogo-na-traurnom-marshe-ostavlena-bez-udovletvoreniya, http://ovdinfo.org/express-news/2015/03/03/nesovershennoletnego-zaderzhannogo-vtoroy-den-ne-vypuskayut-iz-priyuta, http://ovdinfo.org/express-news/2015/03/02/anton-belichenko-poluchil-15-sutok, http://ovdinfo.org/express-news/2015/03/02/ninel-sidorok-oshtrafovali-na-3-tysyachi-rubley, http://ovdinfo.org/express-news/2015/03/02/nikita-kashirin-poluchil-10-sutok, http://ovdinfo.org/express-news/2015/03/02/svidetelya-yuliana-shilinga-zhestko-zaderzhali-i-sostavlyayut-protokol, http://ovdinfo.org/express-news/2015/03/02/ruslan-voronov-poluchil-15-sutok-daniil-krapivenko-13, http://ovdinfo.org/express-news/2015/03/02/za-demonstraciyu-nacistskoy-simvoliki-shtrafuyut-na-dve-tysyachi-rubley, http://ovdinfo.org/express-news/2015/03/02/evgeniy-kapelin-i-dmitriy-zhigalov-poluchili-po-13-sutok, http://ovdinfo.org/express-news/2015/03/02/kirill-kanahin-takzhe-poluchil-8-sutok, http://ovdinfo.org/express-news/2015/03/02/nikolay-alekseychuk-poluchil-8-sutok-i-zhdet-eshchyo-odnogo-suda, http://ovdinfo.org/express-news/2015/03/02/sudy-nad-zaderzhannymi-na-vcherashnem-marshe-proydut-bez-postoronnih-glaz, http://ovdinfo.org/express-news/2015/03/02/onkologicheskogo-bolnogo-ne-otpustili-iz-ovd-iz-za-amerikanskoy-ugrozy, http://ovdinfo.org/express-news/2015/03/02/narusheniya-prav-zaderzhannyh-v-ovd-krasnoselskiy, http://ovdinfo.org/express-news/2015/03/01/zaderzhannym-v-ovd-krasnoselskiy-vmenyayut-193-i-203-koap-odin-chelovek, http://ovdinfo.org/express-news/2015/03/01/ukrainskiy-deputat-vyshel-na-svobodu, http://ovdinfo.org/express-news/2015/03/01/s-zaderzhannym-ukrainskim-deputatom-beseduyut-sledovateli, http://ovdinfo.org/express-news/2015/03/01/v-ovd-hamovniki-nahodyatsya-19-zaderzhannyh-na-marshe, http://ovdinfo.org/express-news/2015/03/01/avtobus-s-11-zaderzhannymi-podehal-k-ovd-krasnoselskiy, http://ovdinfo.org/express-news/2015/03/01/na-moskovskom-marshe-prodolzhayutsya-zaderzhaniya, http://ovdinfo.org/express-news/2015/03/01/na-traurnom-marshe-v-moskve-zaderzhany-okolo-desyati-chelovek-s-imperskimi, http://ovdinfo.org/express-news/2015/03/01/na-marshe-pamyati-borisa-nemcova-v-moskve-zaderzhan-deputat-verhovnoy-rady, http://ovdinfo.org/express-news/2015/03/01/vozle-moskvoreckogo-mosta-zaderzhany-dvoe-uchastnikov-shestviya"
605,Серия пикетов «Яблока» против войны и кризиса,2015-03-01,"Активисты «Яблока» провели в Москве пикет в память о Немцове, задержан один человек.",Москва,,,собрание,политический протест,против власти,Немцов,институциональный протест,Яблоко,1,,Тверская ул,http://ovdinfo.org/express-news/2015/03/02/zaderzhannomu-na-vcherashney-akcii-yabloka-v-policii-ne-predyavili-pretenziy http://www.rosbalt.ru/moscow/2015/03/01/1373118.html
606,Пикет в защиту узников 6 мая в рамках «Стратегии-6»,2015-03-06,На согласованном пикете в защиту узников 6 мая возле метро Третьяковская после провокации произошло задержание участника пикета Олега Пыхтина.,Москва,checked,,собрание,политический протест,политзаключенные,,активистский протест,,1,Замоскворечье,метро Третьяковская,"http://ovdinfo.org/express-news/2015/03/06/zaderzhannyy-na-soglasovannom-pikete-otpushchen-iz-ovd, http://ovdinfo.org/express-news/2015/03/06/na-soglasovannom-pikete-zaderzhan-oleg-pyhtin"
608,Акция за права женщин в московском гайд-парке,2015-03-08,"В Парке Культуры им.Горького, где в гайд-парке проходит акция за права женщин, полиция задержала активистку Марту Хромову, которая пыталась развернуть радужный флаг. В данный момент активистка находится в автозаке рядом с парком.",Москва,,,собрание,групповой протест,гендерные права,феминистки,активистский протест,феминистки,1,Якиманка,"Парк Горького, Крымский вал, д. 9",http://ovdinfo.org/express-news/2015/03/08/v-parke-kultury-zaderzhali-aktivistku-s-raduzhnym-flagom
607,Флешмоб в поддержку Савченко,2015-03-08,"8 марта в 16:00 в поддержку Надежды Савченко на Невском проспекте около торгового дома «Пассаж» петербуржцы выстроились в цепочку, взявшись за руку. 5 человек были задержаны.",Санкт-Петербург,,,акция,политический протест,политзаключенные,Савченко,активистский протест,Демократический Петербург,5,Отдел полиции №78 Центрального района г.Санкт-Петербурга,"у Гостинного двора, Невский проспект, д. 35","http://ovdinfo.org/express-news/2015/03/08/zaderzhannyh-na-akcii-v-podderzhku-savchenko-otpustili-iz-policii, http://ovdinfo.org/express-news/2015/03/08/pyat-chelovek-zaderzhali-na-akcii-v-podderzhku-savchenko-v-sankt-peterburge https://vk.com/miting_help?w=wall-32875578_32305%2Fall"
609,Пикет против марша ветеранов СС,2015-03-16,"Как рассказал ОВД-Инфо Александр Зимбовский, на пикете коммунистических организаций перед посольством Латвии против марша ветеранов СС задержано трое. Сергей Чекрыгин - организатор пикета, за превышение численности, и ещё двое активистов, возмущавшихся задержанием. Один из них - инвалид второй группы.",Москва,checked,,собрание,групповой протест,другое,,институциональный протест,коммунистические организации,3,Басманный,"у здания посольства Латвии, ул Чаплыгина 3","http://ovdinfo.org/express-news/2015/03/16/organizatora-piketa-protiv-marsha-veteranov-ss-otpustili-iz-ovd-basmannyy, http://ovdinfo.org/express-news/2015/03/16/na-pikete-kommunistov-zaderzhany-troe"
610,"Акция «Леонид Михайлович, давайте играть!» против закрытия Центра рассеянного склероза",2015-03-19,"Возле здания мэрии Москвы 19 марта были задержаны художники группы «ГОБ», которые устраивали перформанс против закрытия Центра рассеянного склероза. Алес Кочевник и Руслан Солопеев звали вице-мэра Леонида Печатникова, отвечающего за вопросы здравоохранения, прыгали через скакалку и ломали игрушки, передает сайт журнала «Vademecum». Акция называлась «Леонид Михайлович, давайте играть!».",Москва,,,акция,локальный протест,здравоохранение,,активистский протест,арт-группа ГОБ,2,Китай-город,"у мэрии Москвы, Тверская ул, д 13",http://ovdinfo.org/express-news/2015/03/19/vozle-zdaniya-merii-byli-zaderzhany-uchastniki-akcii-protiv-zakrytiya-centra
611,Одиночный пикет за сменяемость власти,2015-03-21,Обвиняемые по статье 212.1 УК Марк Гальперин и Владимир Ионов были задержаны на Пушкинской площади во время одиночного пикета Гальперина. Перед этим рядом с Гальпериным встали незнакомые ему люди и развернули плакаты. Ионов в это время стоял в стороне.,Москва,,,одиночный пикет,политический протест,против власти,,активистский протест,,2,Тверской,Пушкинская площадь,"http://ovdinfo.org/express-news/2015/05/05/ionov-prigovoren-k-shtrafu-v-150-tysyach-rubley, http://ovdinfo.org/express-news/2015/04/20/rayonnyy-sud-rassmotrit-delo-ob-odinochnom-pikete-galperina-vo-vtoroy-raz, http://ovdinfo.org/express-news/2015/03/23/materialy-administrativnogo-dela-galperina-dobavleny-k-ugolovnomu-delu, http://ovdinfo.org/express-news/2015/03/23/vladimir-ionov-gospitalizirovan-iz-suda-s-serdechnym-pristupom, http://ovdinfo.org/express-news/2015/03/21/zaderzhannyh-na-odinochnom-pikete-galperina-i-ionova-ostavlyayut-na-noch-v, http://ovdinfo.org/express-news/2015/03/21/k-zaderzhannym-figurantam-stati-2121-uk-ne-puskayut-advokata, http://ovdinfo.org/express-news/2015/03/21/v-rezultate-provokacii-zaderzhany-dvoe-obvinyaemyh-po-state-2121-uk"
613,Акция «РАБ валютной ипотеки»,2015-03-22,Активисты были одеты в футболки «РАБ валютной ипотеки» и держали в руках воздушные шары черного цвета. Полиция задержала 19 человек,Москва,,,акция,групповой протест,узкоэкономические требования,валютные ипотечники,активистский протест,,19,"Китай-город,Тверской",Красная площадь,http://ovdinfo.org/express-news/2015/03/22/massovye-zaderzhaniya-na-krasnoy-ploshchadi
612,Антифашисты против проведения Международного русского консервативного форума,2015-03-22,"Около 30-40 антифашистов провели акцию возле гостиницы Holiday Inn на Московском проспекте где открылся Русский международный консервативный форум. Выкрикивая лозунги, они высказали протест против форума. Акция продлилась несколько минут, после чего полиция бросилась задерживать молодых людей, а те кинулись врассыпную и попытались разъехаться на общественном транспорте. Задержано 8 антифашистов и 1 националист.",Санкт-Петербург,,,акция,групповой протест,антифа,антифашизм,активистский протест,,9,Отдел полиции №29 Московского района г. Санкт-Петербурга,"возле гостинице Holiday Inn, Московский проспект, 97, лит. А","http://ovdinfo.org/express-news/2015/03/23/zaderzhannye-antifashisty-otpushcheny-iz-suda, http://ovdinfo.org/express-news/2015/03/22/skoraya-pomoshch-uvezla-izbitogo-zaderzhannogo-iz-29ogo-op, http://ovdinfo.org/express-news/2015/03/22/zaderzhaniya-antifashistov-u-mesta-provedeniya-foruma-nacionalistov"
614,Одиночный пикет против люберецкой судебной системы,2015-04-09,"Одиночный пикет возле здания Верховного суда против судьи Люберецкого городского суда Светланы Хухановой, которая, по мнению пикетчицы, потворствует рейдерам, отбирающим жилье у инвалидов. Пикетчица Гаянэ Амрахова, инвалид 2-й группы по онкологии, задержана.",Москва,,,одиночный пикет,локальный протест,жилье,,активистский протест,активист,1,Арбат,"у Верховного Суда, ул Поварская, д. 15","https://ovdinfo.org/express-news/2015/04/09/u-verhovnogo-suda-zaderzhana-uchastnica-odinochnogo-piketa, https://ovdinfo.org/express-news/2015/04/09/uchastnicu-odinochnogo-piketa-u-vs-otpustili-iz-ovd"
615,Акция «Не убий» в гайд-парке,2015-04-18,"Активистов Альянса защитников животных организаторы не допустили на зоозащитный митинг «Не убий» в гайд-парке Парка культуры. После этого активисты решили проводить посменно одиночный пикет с плакатом, посвященным Иосифу Кобзону, неподалеку. На плакате был изображен депутат с поднятой рукой на фоне сложночитаемого символа. Полиция задержала одного из пикетчиков, Юрия Корецких. Как он рассказал ОВД-Инфо, поводом послужило то, что, пока он стоял с Кобзоном, к нему подошли уходившие с согласованного митинга девушки и показали ему свои плакаты.",Москва,,,одиночный пикет,групповой протест,экология,,активистский протест,Альянс защитников животных,1,Якиманка,"«Гайд-парк» в парке Горького, Крымский вал, д. 9",https://ovdinfo.org/express-news/2015/04/19/dnem-v-moskve-byl-zaderzhan-zoozashchitnik-za-demonstraciyu-nacistskoy
616,Серия одиночных пикетов в день несогласованного «Марша гнева и достоинства»,2015-04-19,"После того как не был согласован оппозиционный митинг, запланированный на 19 апреля, в центре Москвы проходит серия одиночных пикетов.",Москва,,,одиночный пикет,политический протест,против власти,,активистский протест,активист,8,"Китай-город,Тверской","Тверская ул., Большой Москворецкий мост","https://ovdinfo.org/express-news/2015/04/19/eshche-dva-piketchika-zaderzhany-na-mostu-vsego-6-zaderzhannyh, https://ovdinfo.org/express-news/2015/04/19/na-bolshom-moskvoreckom-mostu-zaderzhali-aktivista"
617,Серия одиночных пикетов валютных ипотечников,2015-04-24,"Возле Триумфальной арки на Кутузовском проспекте прошла серия одиночных пикетов валютных заемщиков, выступающих за реструктуризацию валютной ипотеки. Один человек был задержан.",Москва,,,одиночный пикет,групповой протест,узкоэкономические требования,валютные ипотечники,активистский протест,активист,1,Дорогомилово,"возле Триумфальной арки, Кутузовский проспект",https://ovdinfo.org/express-news/2015/04/24/na-zaderzhannogo-valyutnogo-ipotechnika-sostavlen-protokol-po-202-koap
618,Сход на Болотной площади в третью годовщину событий 6 мая 2012 года,2015-05-06,"На Болотной площади собрались люди, пожелавшие вспомнить события трехлетней давности — массовое шествие, закончившееся столкновениями с полицией и уголовным делом.",Москва,,,собрание,политический протест,политзаключенные,,стихийный протест,,65,"Замоскворечье,Красносельский,Хамовники,Якиманка",Болотная площадь,"http://ovdinfo.org/express-news/2015/05/13/zhaloby-na-arest-sharova-delone-i-ryklina-otkloneny, http://ovdinfo.org/express-news/2015/05/08/irina-kalmykova-osvobozhdena-v-zale-suda, http://ovdinfo.org/express-news/2015/05/08/rassmotrenie-zhaloby-iriny-kalmykovoy-na-reshenie-suda-sostoitsya-v-1400, http://ovdinfo.org/express-news/2015/05/07/sergey-sharov-delone-prigovoren-k-10-sutkam-aresta, http://ovdinfo.org/express-news/2015/05/07/aleksandra-ryklina-prigovorili-k-10-sutkam-aresta-semena-zon-zama-i-elenu, http://ovdinfo.org/express-news/2015/05/07/irina-kalmykova-prigovorena-k-arestu-na-shest-sutok, http://ovdinfo.org/express-news/2015/05/07/na-pyateryh-zaderzhannyh-6-maya-na-bolotnoy-ploshchadi-zavedeny, http://ovdinfo.org/express-news/2015/05/07/irinu-kalmykovu-sergeya-sharova-delone-i-aleksandra-ryklina-ostavlyayut-na, http://ovdinfo.org/express-news/2015/05/07/molchanov-i-carkov-otpushcheny-iz-ovd, http://ovdinfo.org/express-news/2015/05/07/iz-ovd-hamovniki-vse-otpushcheny-odnomu-iz-zaderzhannyh-ne-vernuli-pasport, http://ovdinfo.org/express-news/2015/05/06/v-ovd-krasnoselskiy-ostayutsya-dvoe-zaderzhannyh-kotorye-otkazyvalis, http://ovdinfo.org/express-news/2015/05/06/iz-ovd-krasnoselskiy-gospitalizirovana-zhenshchina, http://ovdinfo.org/express-news/2015/05/06/zaderzhannye-otpushcheny-iz-ovd-zamoskvoreche, http://ovdinfo.org/express-news/2015/05/06/chislo-zaderzhannyh-na-bolotnoy-ploshchadi-vozroslo-kak-minimum-do-46, http://ovdinfo.org/express-news/2015/05/06/na-bolotnoy-ploshchadi-zaderzhany-26-chelovek"
621,Раздача листовок «Демократическим Петербургом»,2015-05-08,Задержан активист ДемПитера Антон Калиняк за раздачу листовок у м.Парк Победы. Доставлен в 33 отдел.,Санкт-Петербург,,,агитация,политический протест,против власти,,институциональный протест,Демократический Петербург,3,Отдел полиции №33 Московского района г.Санкт-Петербурга,метро Парк Победы,https://vk.com/miting_help?w=wall-32875578_32989%2Fall http://www.rosbalt.ru/piter/2015/05/08/1396611.html https://vk.com/miting_help?w=wall-32875578_33018%2Fall https://vk.com/wall-32875578_32991 https://vk.com/wall-32875578_33018
620,Нанесение надписи «Свободу узникам 6 мая» на асфальт,2015-05-08,Именно такую надпись пытались написать две активистки на Чистопрудном бульваре. Но сделать этого они не успели — их задержала полиция.,Москва,,,акция,политический протест,политзаключенные,,активистский протест,,2,Басманный,Чистопрудный бульвар,"http://ovdinfo.org/express-news/2015/05/09/zaderzhannyh-za-nadpis-na-asfalte-aktivistok-otpustili-iz-policii, http://ovdinfo.org/express-news/2015/05/09/aktivistkam-zaderzhannym-za-risovanie-na-asfalte-obeshchayut-besedu-s-fsb"
619,Выставка «Мы победили!» в галерее «С.Арт»,2015-05-08,"В галерею современного искусства «С.Арт», где проходит выставка «Мы победили!», ворвались полицейские. Находившийся там художник Олег Басов был избит и задержан.",Москва,,,культурно-просветительское мероприятие,политический протест,против власти,Украина,активистский протест,"""С-АРТ галерея Петра Войса., """"движение """"""""Синий всадник"""""""""""", ElSavo Lab""",1,Куркино,"галерея «С.АРТ», ул Земляной Вал, 14/16","http://ovdinfo.org/express-news/2015/05/08/hudozhnik-oleg-basov-byl-izbit-vo-vremya-obyska-v-galeree, http://ovdinfo.org/express-news/2015/05/08/na-vystavku-my-pobedili-prishli-s-obyskom"
622,Одиночный пикет с плакатом «Свободу Надежде Савченко»,2015-05-11,,Москва,,,одиночный пикет,политический протест,политзаключенные,Савченко,активистский протест,,1,Китай-город,Манежная площадь,https://ovdinfo.org/express-news/2015/05/11/na-manezhnoy-zaderzhali-odinochnogo-piketchika
623,Поздравление Надежды Савченко с днем рождения,2015-05-11,В Москве активисты провели серию одиночных пикетов напротив СИЗО «Матросская тишина» в честь дня рождения политзаключенной Надежды Савченко.,Москва,,,одиночный пикет,политический протест,политзаключенные,Савченко,активистский протест,,7,"Преображенское,Сокольники","у здания СИЗО «Матросская тишина», ул. Матросская тишина, д. 18","http://ovdinfo.org/express-news/2015/05/13/arest-zaderzhannoy-na-akcii-v-podderzhku-savchenko-aktivistke-ostavlen-v, http://ovdinfo.org/express-news/2015/05/12/olga-terehina-otpravlena-pod-arest-na-15-sutok, http://ovdinfo.org/express-news/2015/05/12/preobrazhenskiy-sud-vernul-v-ovd-dela-zaderzhannyh, http://ovdinfo.org/express-news/2015/05/12/vera-lavreshina-prigovorena-k-pyati-sutkam-aresta, http://ovdinfo.org/express-news/2015/05/12/zaderzhannye-vchera-na-akciyah-v-podderzhku-savchenko-dostavleny-v-sudy, http://ovdinfo.org/express-news/2015/05/12/anastasiya-mednikova-alena-koroleva-i-vladimir-ionov-nashlis-v-ovd, http://ovdinfo.org/express-news/2015/05/12/mestonahozhdenie-troih-dostavlennyh-v-ovd-sokolniki-neizvestno, http://ovdinfo.org/express-news/2015/05/11/9-chelovek-perenochuyut-v-moskovskih-ovd-posle-akciy-v-podderzhku-savchenko, http://ovdinfo.org/express-news/2015/05/11/v-ovd-kitay-gorod-ne-puskayut-zashchitnika-i-ne-prinimayut-peredachu, http://ovdinfo.org/express-news/2015/05/11/na-lubyanke-byli-zaderzhany-tri-zhurnalista-odin-iz-nih-izbit,  http://ovdinfo.org/express-news/2015/05/11/naprotiv-sizo-matrosskaya-tishina-zaderzhano-eshche-pyat-chelovek, http://ovdinfo.org/express-news/2015/05/11/na-akciyah-v-chest-dnya-rozhdeniya-savchenko-zaderzhany-troe"
